user,item,rating
1729292698217577263,8746888693715128019,3
1765343240070138060,-5394118579572594645,4
-1178667491315696461,-2502115470374070928,2
-7129319737569135507,1765343240070138060,4
4961473136043872644,6836916578251232629,4
-1090535079739001044,1944692240219233284,4
-1131632679875105721,-7463632323356696816,4
8207440298188321564,-5953001000188812277,4
-8615870659908530126,-1776961621009778312,5
5808609424116162434,-2993271251987514015,4
3723116618737207261,-2993271251987514016,4
-538474456248521070,5018123014292555559,4
-5042303682966078630,-4907433170738268925,3
-3284201157253283302,-4416277389125064856,5
-2459942916036474897,4733878067407026518,5
-6634272876814818161,12667953,5
-1875663100036388300,-8516611225975578026,3
5969458197939841216,7581063085429821377,4
-4657994661760439107,-5295964506053749090,2
4372731514534135264,-5352380000044523828,4
-8753539766655645059,5544197511806140778,3
8824914888134700901,-7699471917948535082,2
2270909973150106325,5437550556079796651,5
4591366809741423606,7184898083716698958,3
-1665352843023047054,6237114382808789552,4
2105643789754125022,-5528989034673668226,4
8925470956569513126,372424574463496974,4
-5743584042457274474,2869495199132372229,5
-1444707770148050579,7054988530789261029,1
5055014901291202280,-5005217299280902867,3
8556905818199498505,4767334922105337987,3
4515836102903132181,-7627400935821339943,4
-5663066271219018086,-7403229425777713737,2
-99039628204516232,-5246185455577409456,5
-8722955642857786482,8757399955990186475,5
5587499487012100559,7581063085429821376,5
4177120191250333454,6869131984553988612,1
7544580973852029290,7933975505034789303,3
2847840556423960519,3412860713682959875,4
-6908831271749279268,1170017655225738978,3
1774367098613364515,514114893192260219,4
-824193420441833720,8783780637840749872,3
-3664606223525511038,2270909973150345338,2
-5953001000188812277,-267454007878024833,3
-3482485130507858483,5437550556079796651,5
5711039828168229203,5903448092334200982,4
-4548519749334192821,-9037780231582868038,4
4632464409877528289,6620648333767699462,4
4107873924184253149,-267454007878024835,4
-6876285068809539310,3989761605389546958,4
-2469940993509438677,4733878067407265532,3
-6287460014715209035,-3976855890377894262,3
-9024730242603057673,476813976912383756,4
-824193420441833719,-6344205042601801938,2
4107873924184253149,8757399955990186477,3
6644907187237881895,1248292543972804166,4
-5763018067546685649,5808609424116162433,3
-2459942916036474892,-7025476862100593681,3
8919371399064154334,5004749116279095309,4
-1868682919867933506,427034926436283132,4
1133952308285262999,-5394118522445619514,5
-8275231191670687910,6882505882567209848,3
6882505882567209850,2594857668274708509,3
8635255864525985153,-3214650843357287368,3
-2524140095767082889,4863058797550332056,2
-7025476862100832692,-1263758895940430411,3
1304888167453309662,-1263758895940669424,4
-5663066271219018086,-626655784218110861,5
-8046792469510317687,8578150405007969530,2
-994811147167270852,2645030414125797425,3
-8523581873891085450,-7553588132130633263,4
-616090324301850121,8231325401349626127,2
-7208316079208355883,8207515455767504010,5
1786662825461854928,-8139081312654498484,3
6919397769565856574,-1263758895940669424,4
-6924563126437528579,-989121422209502812,5
-7699471917948535080,-8773214140024172568,1
2028027921700795970,-2323793037020524478,4
-1939990373881188795,5320515215442044665,5
7690464759669931107,-1830588642514103935,2
-1477478934581918972,-8247139585383612224,5
-7059791305893830171,131144984047432904,3
4807343028036703229,4458636264442218139,4
-1128888440839595842,-1875663100036388305,4
-2636985925474905497,4767334922105337988,5
9028773073304025045,1495598014948636223,4
5716680217154928077,5587499487011861549,5
4372731514534135263,2193263778318827988,4
6069592636760135014,-7721065030743051869,4
-2167585442517556899,-6908831271749279268,3
4863058797550332056,-2942156377678529501,5
8757399955990186481,-5246185455577409455,3
4767334922105098974,8892270468217757165,5
8425250227101784392,-989121422209502812,5
8298840390621115683,8620718188123631011,4
3041977904481398541,-1213586207216077615,5
8757399955990186483,2645030414125797428,1
4184957903387216158,2645030414125797430,3
-4502930445018454618,4767334922105337987,5
4069669158735385237,-267454007878263845,3
3220884019242697411,-3804373185028867953,2
-5668756053303761254,4868748579634836217,4
1117340861496795473,-8515941071326317103,5
-8274893953340203775,-5394118579572594645,5
-621205552985033593,2645030414125797424,2
2723043279248297045,-267454007878263845,4
-4660646509498778204,-7854836365769447467,2
-7699471917948535082,-3487997131769630526,1
8954960269613557382,-5042303682966078628,3
6882505882567209847,-8381070616225243522,4
-8654075482484373170,-1875663100036388305,1
-1776961621009778314,-1830588642514103939,3
-7699471917948774093,-7025476862100832692,4
7061088088294619825,4632464409877528291,5
5711039828168468216,4961473136044111657,4
-1213848287967379308,-7812268582653546971,5
-8423755964985452636,-2551894520850171557,4
3983076647008589673,2869495199132372228,3
2847840556423960515,2651453291755214005,4
-4877031745434050447,5587499487011861549,4
-4525775997271207518,-6516687747950589237,4
-718250316210458888,-3214650786230312241,4
3685964352510154253,-5394118522445619513,5
4591366809741423606,4767334922105337990,4
1295506986721675734,8535568735924579632,5
4632464409877528283,-9037780231582868038,4
-6212720627329126740,-2764718082335058325,3
-7160347374328403383,-3278298687515043722,3
8620718188123631013,-1116016611268144380,4
-5250890105658200846,-3664606223525511044,5
5096343648271682348,-2524140095767082895,5
-3134826722595802974,3220884019242697412,4
7022921775666006810,7767830903482119148,5
-7129319737569135506,-4416277389125064856,3
-1090535079739001038,3357743946517611781,3
-8196881145344201268,-7151323572912152049,4
671148880578264356,6237114382808789552,5
4807343028036703234,-7854836365769447467,1
3067601011852149228,-2688576288716488008,5
-7669048553296650877,7054988530789500042,3
-2636985925474905502,-5394118579572594645,5
-3740045911184306475,-6103096307452058950,5
6379668953838580214,-2636985925474905502,5
-6031221691294914188,-3664606223525511046,3
-8924174174168484461,-1387568891362270536,4
3412860713682959875,-5394118522445619513,4
-7151323572912152052,-816638716860476502,3
-8487717571951826664,-6789692614209718880,1
-3134826722595802970,-2560521382323988432,4
4570269150757858112,-724812568855393732,4
5710777747416927512,6379668953838580212,3
-99039628204516232,-7961643017311266313,3
4515836102903132175,-616090324302089134,4
-6390158865546100819,9075297551651855996,1
-696138514049095129,-4466038500892832764,2
-3664606223525511042,-7328761811128887120,2
7928285780077021264,-8139081312654737494,3
614063289064964818,-8046792469510317689,3
2729728180502279196,571652645130422297,5
-8713717500715167615,4733878067407026518,3
-5250890105658200843,8335221620051046090,5
-1350267975082633079,-8515941071326317109,4
-3940282816747103288,-564460525098679705,3
-6182409601235663401,4207803512766705177,5
3159889854996330025,-626655784218110864,4
131144984047671919,8746888693715128021,2
-1213586207216077613,2651453291755214005,2
-2560521382323988432,8578150405007969530,5
3231960779997028059,3357743946517372765,3
-3278298687515282733,-3252232694756974705,4
3870457928474526553,-8153475490461661280,3
-7160347374328403381,4207803512766705179,4
5041231227857126410,-1213586150089102480,4
-824193420441833715,-4502930445018215604,3
4069669158735385235,4231041195805372010,1
-6889156898380751760,1170017655225738980,5
-1031286953663387861,3179571516210817427,4
8229514145710880367,5004749116279334324,1
-4131920107119878750,6199813466528674071,4
-8924174174168484458,-5005217299280902865,5
6199813466528674073,514114893192260219,3
476813976912383753,4868748579634836217,2
7061088088294619822,-6412902560482350008,4
6836916578251232633,-724812568855393730,3
-7734652714600217923,8335221620051285105,5
8620718188123631012,-4466038500892832764,4
1304888167453309667,-2688576288716488008,4
848587175921735539,2869495199132372228,5
-2524140095767082897,-694365213049154321,4
-5668756053303761257,-8838269424260401583,2
-7943220265129794677,7681440901126943661,4
-8077103495603781035,6201367111184665011,5
773847788535653252,6919397769566095585,4
7816311413354514345,-6516687747950589239,5
6199813466528913081,-1263758895940430408,4
3220884019242697410,7061088088294858837,5
4807343028036703231,-724812568855632742,3
4411549714472942044,12428941,4
6237114382808789549,-4907433170738507940,4
5716680217154928077,4476605055835907172,1
8556905818199498503,-659757284619164718,2
-5352380000044523829,-575529981710733510,3
-216536764759774070,2645030414125797424,5
-1618102319359940319,5808609424116162433,4
-6287460014715209035,8824914888134700903,3
4515836102903132181,-1128888383712620710,3
-8331751657571771953,8443279892780159832,5
9075297551652095007,7581063085429821377,4
-6876285068809539311,6770743583904210010,3
-7734652714600217920,-1250887123495954085,2
-5668756053303761256,3220884019242458397,3
-4324348182164069510,-6382756717108957928,5
-7599782202372647230,-724812568855632742,3
-4348337759054472448,1203218143577255928,4
-2524140095767082892,-6973886555985747291,4
-5813015202151082980,-5394118579572594641,5
2193263778318588977,1248292543972804165,4
3820834864737724940,-6516687747950589231,4
4117947159236399377,-7662319651721482076,5
-621205610112008726,8335221620051046091,5
-6382756717108718920,5004749116279095311,5
-2931075992867843838,427034926436044124,4
611684489139954442,2645030414125797428,4
7184898083716698959,-3168897013275173011,3
5969458197939841219,6869131984553749601,5
4906360715629316713,-8733983035830450458,4
6727441665825225361,-994811147167031843,3
8231325401349626131,-824193420441833719,3
7544580973852029290,773847788535653246,3
-6789022459560696976,-4494230438382141921,4
8231325401349626130,-8838269424260401582,5
-2469940993509199668,-8979655842207748438,2
-1592767679233749901,5711039828168229204,5
-3560100998561187539,5437550556079796651,5
-3810275711893843652,-626655784218110861,5
-5953001000188812274,3989761605389307946,2
1708927803206338458,4767334922105337989,3
-6287460014715209033,-5841238758652548560,2
4726237321969233302,-1250887123495954080,5
-8196881145344201267,8919371399064154333,5
-8446497837561386318,3531572091952921931,2
-7677398070425976284,2478291156719621580,4
3179571516210817426,-989121422209502812,4
479192776837394132,4756265465492806156,5
5208766242108859511,6727441665825225363,4
-4952687202442097991,7022921775666245821,5
1197223435218585692,6905614096131780697,4
-853120828438268587,9194008929922057063,2
-4621421588129887134,1047873563761537652,4
-8487717571951826664,4135292784298263509,5
-564460525098440689,6379668953838580209,2
-2993271251987514017,-5352380000044523827,2
-3804373185029106967,-1263758895940430408,2
1203218143577255921,5716680217154928077,3
7575160615691581799,-1830588642514103939,5
-696138514049095129,-8733983035830211447,4
-4525776054398182647,8733514852828642900,4
-1185831782132749940,-7553588132130633264,5
-8838269424260401582,-2764718082335058325,1
6069592636760135014,-3560100998560948527,4
-3284201157253283303,-7953824857513022099,3
8231325401349865141,4135292784298024496,5
-5813015202151082981,-1250887123495954084,2
-661164724697398366,2645030414125797429,4
-1437347941838849182,8892270468217757168,4
-6924563126437528581,-4502930445018215604,3
-696138514049095129,-2764718139462033453,4
-8125856757012968571,6471543906031398142,4
2243491055909598861,-8225114902863864143,3
-1213586207216077614,5260112317863061591,5
2869495199132611237,8270166335814817077,4
8783780637840510863,7184898083716937972,4
773847788535653246,-5841238758652548555,4
5158538964518088635,6471543906031398144,2
3531572091953160940,8556905818199737517,5
-1517539242363231750,-7757446317299957414,3
-2428843393373333995,6201367111184665009,3
-3177920814691424339,-7463632323356696820,2
-1875663100036388304,1004442176208457018,2
-1090535079739001042,2651453291755214008,3
3159889854996330021,5587499487012100560,1
4105075329664947915,-5531291853921463220,5
1921533280562928512,3412860713682959875,4
5847459515283243967,-8312194869620080244,4
-1350267975082394067,-7395674722196356519,4
-1131632679875105729,5085266887517112688,3
-1875663100036388302,-7395674722196356519,4
7184898083716698957,-1263758895940430410,4
-7824112770038635369,1170017655225738978,5
-6516687747950589238,-9114526354435319123,3
-4992524632489978005,5587499487011861550,5
-8453581287567188086,-2853504290484157100,5
-6876285068809539306,7408580380081034083,3
-8713717500714928607,-8283520814813781642,4
-2459942916036474892,-5352380000044284815,3
2847840556423960519,-4416277389125064856,5
7846355573597061468,5085266887517112690,4
-4551485082556383561,-626655784218110866,3
-6916233420186422156,7681440901126943662,2
8824914888134939914,-8516611225975339012,3
4587426090396215217,1170017655225738980,4
4069669158735385235,-8733983035830450459,3
4591366809741662616,-6789692614209718879,3
8757399955990186477,6578897081632241658,2
2723043279248297043,-5246185455577648469,4
6770872996251330861,2193263778318827988,5
3041977904481398540,7538121780163007026,3
-8658452328992159034,427034926436044120,2
7710031127919391501,4476605055836146181,5
-6659199005616192148,3357743946517611780,4
-6634272876814818163,-6479075554829372625,1
-2853504290484157100,-7527449139493911389,5
-8275231191670687915,-2502115470373831919,3
-7514978341984162781,-4466038500892832764,3
1765343240070138061,-2993271251987514015,5
5208766242108859511,-7395674722196356519,5
-1954398637936183076,4207803512766705184,5
-2017353418765151551,4207803512766705177,5
1821581541362236082,2729728180502279200,4
-2636985925474905500,5758830373639822801,3
-3939243697256677656,8207440298188082554,1
-7961643017311266315,4733878067407026518,4
-6344205042601801933,8892270468217757168,5
4231041195805372013,6692522949924844216,5
-4660646509499017216,6919397769565856570,4
-853120828438268591,-8139081312654498485,5
7966490545526128188,571652645130422296,5
-6876285068809539306,-3487997131769630528,5
-4621421588129887139,4207803512766705182,5
-6876285125936514440,-4502930445018454617,5
-696138514049095129,8335221620051285104,4
7928285780077260275,1356501150967804104,3
2723043279248297045,6620648333767699462,4
2312737322975679164,-7328761811129126129,5
-5953001000188812277,8133203575701953644,3
-4907433170738507939,-7395674722196117504,4
5711039828168468214,8535568735924579637,4
-1740792587808817610,6882505882567209847,4
1295506986721675731,1858733750462552970,4
-6789692614209718882,8335221620051285105,4
131144984047432907,-8381070616225482536,4
-3482485130507858489,-6287459957588233905,3
7544580973851790280,7022921775666245821,5
5758830373639822796,6827393462152653914,4
-724812568855393733,1295506986721436719,3
2312737322975679160,2478291156719621580,3
-1477478934581918973,4594111048777172500,4
4607161037756743853,8954960269613557386,4
4515836102903132175,-1740792587808578599,4
-1517539242363231751,-8838269424260640592,3
-6578093299548961236,7022921775666006813,5
8425250227101784392,-1939990316754213668,3
-6287459957588233901,1170017655225738978,4
6496847278152182575,1146132552064195399,2
-1800223355250856754,-626655784218110860,2
-3810275711893843655,4767334922105337987,3
-6516687747950589236,-5005217299281141878,4
6919397769566095583,2651453291755214008,3
7831620033298318484,-2688576288716488008,4
671148880578025341,-8838269424260401582,4
-1213848287967379300,6770743583903971000,4
-3284201157253283303,6827393462152653914,3
-8046792469510078678,1047873563761298638,4
7242006073082699805,2478291156719860589,4
-8924174174168484456,-5246185455577409457,5
-4621421588129887138,4868748579634836217,5
-661164724697398367,7581063085429821376,5
1495598014948875233,2645030414125797428,3
-3940282873874078418,8892270468217757167,3
-4657994604633463973,-6287459957588233902,3
-2003553432095743205,-5005217299280902869,5
-5295964506053749095,-8046792469510317691,4
6373534069923804318,-5246185455577409455,3
-1313537946416770046,7022921775666006811,3
-8713717500715167616,-2993271251987514015,3
-2167585442517795914,-6287459957588233902,3
-1135573342093338982,4607161037756743848,3
-1800223355250856751,7767830903482119149,3
-3903390929748456563,5437550556079796651,5
-4166838823020020888,8925470956569513124,3
5320515215442044668,-7854836365769208455,3
2105822006289459055,-8381070616225243523,2
-3529735711297701340,3034400523500393268,2
5710777747416927511,-5841238758652548560,4
-7142974055783065659,-1437347941838849182,3
1203218143577255928,-2551894520850171550,2
-8487717571951587655,7681440901126943658,4
-7669048553296650883,8783780637840749872,4
-7200478367071712182,4733878067407026518,3
-4660646509499017216,-5841238758652548554,4
-6589198419292294786,-816638716860476498,5
-99039628204277217,-5763018067546446640,3
-8516611225975339012,-621205610112008727,3
-3740045911184545483,4570269150757858114,4
7681440901126943658,-7812268582653546975,4
1495598014948875235,5587499487012100561,3
7768080627723021146,2869495199132611242,3
-6578093299548961231,9194008929922057062,4
-5804665685021996586,-9114526354435319124,1
1921533280562928515,1203218143577255925,4
-62914838815131618,7581063085429821377,4
-6659199005616192149,-5841238758652548560,3
5847459515283243965,-2993271251987514015,3
-3560100998561187537,-3043050302463614634,1
6827393462152653914,-989121422209263797,4
-1665352843023286063,427034926436044124,4
-661164724697398368,7061088088294858837,4
