Стоимость;Кол-во комнат;Площадь общая;Площадь жилая;Адрес
1500;1;46;19;Королева пр., 43к2
3200;2;57,5;32,1;Королева пр., 53к5
3280;1;34;17,4;Шаврова ул., 9
3300;0;23;12,6;Королева пр., 43к1
3300;1;34;16;Комендантский пр., 29к1
3300;0;30,5;17;Комендантский пр., 27к2
3400;1;33;17,5;Авиаконструкторов пр., 29к1
3490;1;34;17;Королева пр., 54к2
3500;0;26;15;Королева пр., 43к1
3500;0;30,9;15,8;Долгоозерная ул., 6к2
3500;0;26;17;Королева пр., 43к1
3500;1;33,3;17,4;Долгоозерная ул., 6к1
3500;1;34;19;Долгоозерная ул., 6к2
3500;1;34;19;Долгоозерная ул., 6к2
3525;1;33;17,6;Планерная ул., 53к1
3590;1;37;18;Королева пр., 46к3
3600;1;35;17;Королева пр., 47к1
3630;0;29,9;21,5;Комендантский пр., 38к1
3670;1;33;17,5;Долгоозерная ул., 8
3690;1;37;18;Королева пр., 48к3
3699;1;37;16;Авиаконструкторов пр., 18к3
3700;1;36;16;Королева пр., 48к4
3700;1;35,7;16,9;Шаврова ул., 7
3700;0;34,7;23,9;Королева пр., 43к1
3748;1;37;17,9;Авиаконструкторов пр., 18к3
3750;1;38,5;15,9;Комендантский пр., 32к1
3750;0;31;16;Мартыновская ул., 14
3750;1;38,7;18;Комендантский пр., 32к3
3750;1;40;20,3;Планерная ул., 55к1
3800;0;30,1;15,3;Мартыновская ул., 14к1
3800;1;32;15,3;Мартыновская ул., 14к1
3800;1;37;17,8;Королева пр., 46
3800;1;37;18;Комендантский пр., 40к2
3800;1;39;20;Комендантский пр., 37
3800;1;38,8;20,1;Королева пр., 48к1
3800;1;39;20,1;Комендантский пр., 37к1
3840;1;39;20;Шаврова ул., 15
3849;1;40;20;Комендантский пр., 37к1
3850;1;37;18;Комендантский пр., 40к3
3850;1;33,9;19,2;Комендантский пр., 27к2
3850;1;41;20;Комендантский пр., 37к1
3880;0;31;15;Мартыновская ул., 14к1
3890;1;35,6;18;Планерная ул., 53к2
3890;1;40;20;Комендантский пр., 37к1
3890;1;41;20;Королева пр., 47к1
3900;0;31;16;Мартыновская ул., 14к1
3900;1;45,6;18,2;Королева пр., 50к1
3940;1;40;20;Комендантский пр., 37к1
3950;0;30;16;Мартыновская ул., 14к1
3950;1;33;16;Мартыновская ул., 14к1
3950;1;38;16;Комендантский пр., 37к1
3950;1;35,2;17;Комендантский пр., 37
3950;1;41;18,5;Королева пр., 46к3
3970;1;34,5;19,5;Шаврова ул., 17
3990;1;35;16;Шаврова ул., 15
4000;1;39;16,8;Комендантский пр., 37к1
4000;1;39;17;Комендантский пр., 37к1
4000;1;36,8;18;Комендантский пр., 40к2
4000;1;38;18;Комендантский пр., 40к3
4000;1;39;18;Шаврова ул., 15
4000;1;38,6;20;Авиаконструкторов пр., 17к1
4000;1;39;20;Комендантский пр., 37к1
4000;1;39;20;Авиаконструкторов пр., 17к1
4070;1;35;16;Комендантский пр., 37
4070;1;41,6;20;Королева пр., 39к2
4090;1;34;16;Комендантский пр., 39к1
4100;1;34,2;16;Комендантский пр., 37к1
4100;1;38;17;Комендантский пр., 37
4100;1;39;20;Шаврова ул., 15
4100;1;46,7;20;Шаврова ул., 23к1
4100;1;38,8;20,1;Авиаконструкторов пр., 24
4120;1;39,1;20;Комендантский пр., 29к1
4150;1;34,4;15,7;Королева пр., 43к1
4190;2;45,9;28,7;Авиаконструкторов пр., 37
4200;1;38;15,2;Мартыновская ул., 14к1
4200;1;38;15,2;Мартыновская ул., 14к1
4200;1;34,2;16;Комендантский пр., 37к1
4200;1;46;18,5;Шаврова ул., 23к1
4200;1;39;20;Комендантский пр., 40к1
4200;1;40;20;Королева пр., 44к1
4250;1;34;18;Шаврова ул., 9
4250;1;42;20;Королева пр., 43к1
4250;2;45,9;31;Авиаконструкторов пр., 37к1
4300;1;36;16,7;Шаврова ул., 15
4300;1;39;17,5;Королева пр., 47к1
4300;1;39;17,8;Королева пр., 47
4300;1;47;18,4;Авиаконструкторов пр., 20к2
4300;1;46;20,5;Долгоозерная ул., 6к2
4300;2;45,7;28,5;Долгоозерная ул., 6к2
4400;1;38,2;16,2;Шаврова ул., 13к1
4400;1;38;18;Комендантский пр., 32к2
4400;1;44,4;20,1;Авиаконструкторов пр., 20к3
4400;2;45,5;28;Авиаконструкторов пр., 29к2
4450;1;33,5;17,5;Планерная ул., 43к1
4460;1;45,7;20;Мартыновская ул., 6
4470;1;41;18;Авиаконструкторов пр., 16к1
4480;2;52;29,5;Авиаконструкторов пр., 39
4499;1;45,9;18,4;Планерная ул., 41к2
4499;1;39;20;Авиаконструкторов пр., 20к1
4499;2;48;28,4;Шаврова ул., 11
4500;2;46;11;Авиаконструкторов пр., 37
4500;0;30;16;Мартыновская ул., 14к1
4500;1;45;20;Шаврова ул., 23
4500;2;50;28;Комендантский пр., 34к3
4500;2;47;28,5;Авиаконструкторов пр., 37к1
4500;2;57,7;30;Шаврова ул., 23к1
4500;2;55;32,4;Планерная ул., 51к2
4550;1;36;15;Шаврова ул., 15к1
4550;2;45;20;Шаврова ул., 23
4550;1;45;20;Шаврова ул., 23
4550;1;45;20;Шаврова ул., 23
4570;2;47;28,5;Авиаконструкторов пр., 37
4600;2;47;28,5;Авиаконструкторов пр., 37к1
4600;2;47;28,5;Авиаконструкторов пр., 37к1
4600;2;45,9;29;Авиаконструкторов пр., 37
4600;2;52,1;30,1;Авиаконструкторов пр., 17к1
4650;1;35;16;Комендантский пр., 29к1
4700;1;48;18,3;Королева пр., 50к1
4750;1;47,5;18,4;Планерная ул., 41к2
4750;2;45,2;28,1;Долгоозерная ул., 6к2
4750;2;47;28,5;Комендантский пр., 31к3
4790;2;50,6;30;Шаврова ул., 9
4799;1;42;21;Планерная ул., 45
4800;1;38,5;20;Планерная ул., 45к1
4800;1;45;20;Комендантский пр., 34к1
4800;2;52;30;Авиаконструкторов пр., 18к1
4800;2;52,5;30,9;Авиаконструкторов пр., 39к1
4800;2;55,1;32,5;Планерная ул., 51к1
4850;1;43;18,5;Шаврова ул., 13к1
4850;1;42,4;20;Королева пр., 39к1
